facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
100093,BAPTIST HOSPITAL,13.4,2.6,-2.4,1.04,3.0,0.0,4.0
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,10.7,3.8,-19.9,1.0,2.0,0.0,4.0
100118,FLORIDA HOSPITAL FLAGLER,12.9,4.0,24.6,0.91,0.0,1.0,3.0
100167,HCA FLORIDA MERCY HOSPITAL,12.8,3.7,42.1,1.08,2.0,4.0,1.0
100179,HCA FLORIDA MEMORIAL HOSPITAL,12.6,3.4,16.9,1.08,3.0,2.0,2.0
100187,STEWARD PALMETTO GENERAL HOSPITAL,12.9,3.6,3.9,1.08,2.0,1.0,1.0
100213,HCA FLORIDA BLAKE HOSPITAL,15.2,2.2,20.7,1.06,2.0,2.0,1.0
100226,HCA FLORIDA ORANGE PARK HOSPITAL,12.9,4.2,16.7,1.04,1.0,1.0,2.0
100231,HCA FLORIDA WEST HOSPITAL,10.9,3.2,0.4,1.01,3.0,1.0,2.0
100236,HCA FLORIDA FAWCETT HOSPITAL,12.8,2.3,-8.1,1.0,1.0,2.0,2.0
100258,DELRAY MEDICAL CENTER,10.7,5.2,10.9,1.03,2.0,3.0,2.0
100267,HCA FLORIDA ENGLEWOOD HOSPITAL,12.3,3.3,4.2,0.94,1.0,1.0,3.0
100275,WELLINGTON REGIONAL MEDICAL CENTER,12.8,3.9,26.0,0.99,0.0,2.0,1.0
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,11.5,2.8,17.6,1.0,2.0,4.0,1.0
100289,CLEVELAND CLINIC HOSPITAL,12.7,4.2,16.6,0.94,2.0,2.0,3.0
100291,MELBOURNE REGIONAL MEDICAL CENTER,11.6,4.7,-19.2,1.06,1.0,0.0,2.0
100307,ASCENSION ST VINCENT'S SOUTHSIDE,11.4,3.3,4.4,1.0,1.0,0.0,4.0
110008,NORTHSIDE HOSPITAL CHEROKEE,12.8,3.6,-4.4,0.95,1.0,0.0,4.0
110025,SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,14.9,3.3,-4.6,0.99,1.0,0.0,1.0
110028,PIEDMONT AUGUSTA HOSPITAL,12.7,3.9,36.6,1.04,3.0,2.0,3.0
110038,ARCHBOLD MEMORIAL HOSPITAL,12.1,3.3,33.3,1.0,2.0,1.0,4.0
110076,EMORY DECATUR HOSPITAL,14.1,3.9,26.8,1.0,2.0,0.0,2.0
110082,"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",14.4,3.7,13.3,0.93,2.0,3.0,3.0
110087,NORTHSIDE HOSPITAL GWINNETT,13.1,2.6,20.2,1.02,1.0,1.0,2.0
110161,NORTHSIDE HOSPITAL,12.5,4.4,43.6,0.95,1.0,2.0,3.0
110215,PIEDMONT FAYETTE HOSPITAL,9.8,4.5,2.0,0.96,3.0,1.0,3.0
110229,"PIEDMONT NEWNAN HOSPITAL, INC",12.2,3.8,6.9,0.94,1.0,1.0,3.0
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,10.4,3.7,1.7,0.98,1.0,0.0,3.0
130049,KOOTENAI HEALTH,15.0,2.9,-26.3,0.99,4.0,0.0,4.0
140043,CGH MEDICAL CENTER,13.8,2.8,-12.6,1.0,0.0,0.0,2.0
140062,PALOS COMMUNITY HOSPITAL,12.7,4.2,11.2,1.0,1.0,3.0,3.0
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,10.8,3.6,-13.9,1.06,2.0,0.0,4.0
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,11.7,3.4,17.3,0.97,0.0,0.0,3.0
140114,SWEDISH HOSPITAL,11.8,3.3,2.1,1.06,1.0,1.0,2.0
140116,NORTHWESTERN MEDICINE MCHENRY,11.0,2.6,-9.4,1.02,1.0,2.0,5.0
140155,PRESENCE ST MARYS HOSPITAL,13.1,3.3,-11.4,0.93,0.0,0.0,4.0
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,14.2,3.5,25.8,0.96,2.0,4.0,3.0
140185,MEMORIAL HOSPITAL,11.8,3.7,9.0,0.99,1.0,1.0,4.0
