facility_id,facility_name,mort_ami,comp_hip_knee,readmission_hf,spending,count_of_safety_measures_better,count_of_readm_measures_worse,hospital_overall_rating
410012,THE MIRIAM HOSPITAL,10.6,2.7,-11.4,0.98,1.0,1.0,5.0
420002,PIEDMONT MEDICAL CENTER,15.8,3.6,-4.3,1.01,1.0,1.0,2.0
420079,TRIDENT MEDICAL CENTER,10.1,5.2,20.1,1.01,1.0,1.0,3.0
420082,AIKEN REGIONAL MEDICAL CENTER,14.6,4.7,13.5,0.97,1.0,0.0,2.0
420098,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,13.0,5.4,15.8,1.01,1.0,1.0,3.0
430014,AVERA ST LUKES,12.8,3.1,-25.8,0.98,0.0,0.0,5.0
430016,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,11.9,3.8,3.4,1.01,1.0,0.0,4.0
430077,MONUMENT HEALTH RAPID CITY HOSPITAL,12.5,3.2,-29.5,1.01,2.0,0.0,3.0
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,15.3,3.0,48.3,1.04,2.0,2.0,1.0
440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,13.1,4.7,-9.1,1.06,1.0,0.0,2.0
440059,COOKEVILLE REGIONAL MEDICAL CENTER,13.7,3.8,18.6,1.0,1.0,2.0,1.0
440073,MAURY REGIONAL HOSPITAL,13.2,3.6,-1.9,1.03,2.0,0.0,3.0
440091,"MEMORIAL HEALTHCARE SYSTEM, INC",11.5,2.4,-19.4,1.0,3.0,0.0,5.0
440104,ERLANGER MEDICAL CENTER,13.4,2.5,-6.2,1.09,2.0,1.0,2.0
450007,PETERSON REGIONAL MEDICAL CENTER,12.7,3.5,-18.2,0.99,1.0,0.0,4.0
450021,BAYLOR UNIVERSITY MEDICAL CENTER,12.4,3.6,-31.5,1.02,3.0,2.0,4.0
450107,LAS PALMAS MEDICAL CENTER A CAMPUS OF LPDS HEALTHC,13.1,3.4,27.2,1.06,3.0,3.0,2.0
450358,HOUSTON METHODIST HOSPITAL,11.7,2.8,8.3,0.99,4.0,1.0,5.0
450563,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,11.9,4.5,-23.1,1.03,1.0,2.0,4.0
450647,MEDICAL CITY DALLAS HOSPITAL,12.3,3.4,7.9,1.02,1.0,2.0,3.0
450670,HCA HOUSTON HEALTHCARE TOMBALL,11.0,3.5,39.4,1.12,2.0,2.0,2.0
450713,ST DAVID'S SOUTH AUSTIN MEDICAL CENTER,10.4,3.2,-17.5,1.08,3.0,1.0,5.0
450730,SANA HEALTHCARE CARROLLTON D/B/A CARROLLTON REGIONAL MEDICAL CENTER,12.3,3.6,-19.7,1.06,0.0,2.0,2.0
450869,DOCTORS HOSPTAL AT RENAISSANCE,12.2,3.5,-7.9,1.03,4.0,2.0,3.0
460009,UNIVERSITY OF UTAH HOSPITAL AND CLINICS,12.9,3.3,-22.9,1.02,2.0,0.0,5.0
460013,MOUNTAIN VIEW HOSPITAL,12.7,3.5,-27.2,1.04,1.0,1.0,4.0
460047,ST MARK'S HOSPITAL,10.8,3.2,-37.9,1.03,2.0,0.0,3.0
490005,WINCHESTER MEDICAL CENTER,11.5,3.7,-1.0,0.95,2.0,2.0,4.0
490046,SENTARA LEIGH HOSPITAL,13.0,3.4,19.1,0.94,3.0,2.0,4.0
490050,VIRGINIA HOSPITAL CENTER,12.0,3.3,-8.3,0.95,2.0,0.0,5.0
490059,BON SECOURS ST MARYS HOSPITAL,12.2,3.2,0.4,0.99,2.0,1.0,4.0
490101,INOVA FAIR OAKS HOSPITAL,13.2,3.4,-5.6,0.95,1.0,1.0,5.0
500039,HARRISON MEDICAL CENTER,15.7,3.7,2.0,0.96,4.0,0.0,3.0
500077,PROVIDENCE HOLY FAMILY HOSPITAL,14.1,3.5,3.2,0.95,0.0,1.0,3.0
510007,ST MARY'S MEDICAL CENTER,13.1,2.8,49.5,1.02,0.0,2.0,2.0
510008,BERKELEY MEDICAL CENTER,14.3,2.7,-12.3,0.94,0.0,1.0,1.0
510050,"WHEELING HOSPITAL, INC",15.2,4.9,17.0,1.04,2.0,6.0,1.0
520009,ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,13.7,3.3,-40.6,0.9,1.0,0.0,4.0
520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,11.4,4.0,-10.4,0.97,2.0,0.0,5.0
520139,WEST ALLIS MEMORIAL HOSPITAL,12.9,3.8,-16.2,0.9,0.0,0.0,4.0
530012,BANNER WYOMING MEDICAL CENTER,12.7,2.9,-5.0,1.07,3.0,1.0,3.0
530014,CHEYENNE REGIONAL MEDICAL CENTER,10.7,4.6,-5.5,1.01,1.0,0.0,4.0
670034,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,11.7,4.1,-10.4,0.99,0.0,1.0,3.0
670088,BAYLOR SCOTT & WHITE MEDICAL CENTER- COLLEGE STATI,11.6,3.1,34.7,1.01,0.0,1.0,4.0
670122,HOUSTON METHODIST THE WOODLANDS HOSPITAL,11.5,4.0,-13.6,1.03,4.0,0.0,5.0
